sample,phase,treatment,pool
1,Step 1,C,1
2,Step 1,C,1
3,Step 1,C,2
4,Step 1,C,2
5,Step 1,C,3
6,Step 1,C,3
7,Step 1,C,4
8,Step 1,C,4
9,Step 1,C,5
10,Step 1,C,5
11,Step 1,US,6
12,Step 1,US,6
13,Step 1,US,7
14,Step 1,US,7
15,Step 1,US,8
16,Step 1,US,8
17,Step 1,US,9
18,Step 1,US,9
19,Step 1,US,10
20,Step 1,US,10
21,Step 1,pH2,11
22,Step 1,pH2,11
23,Step 1,pH2,12
24,Step 1,pH2,12
25,Step 1,pH2,13
26,Step 1,pH2,13
27,Step 1,pH2,14
28,Step 1,pH2,14
29,Step 1,pH2,15
30,Step 1,pH2,15
31,Step 1,pH11,16
32,Step 1,pH11,16
33,Step 1,pH11,17
34,Step 1,pH11,17
35,Step 1,pH11,18
36,Step 1,pH11,18
37,Step 1,pH11,19
38,Step 1,pH11,19
39,Step 1,pH11,20
40,Step 1,pH11,20
41,Step 1,Ox1,21
42,Step 1,Ox1,21
43,Step 1,Ox1,22
44,Step 1,Ox1,22
45,Step 1,Ox1,23
46,Step 1,Ox1,23
47,Step 1,Ox1,24
48,Step 1,Ox1,24
49,Step 1,Ox1,25
50,Step 1,Ox1,25
51,Step 1,Ox2,26
52,Step 1,Ox2,26
53,Step 1,Ox2,27
54,Step 1,Ox2,27
55,Step 1,Ox2,28
56,Step 1,Ox2,28
57,Step 1,Ox2,29
58,Step 1,Ox2,29
59,Step 1,Ox2,30
60,Step 1,Ox2,30
61,Step 1,FT,31
62,Step 1,FT,31
63,Step 1,FT,32
64,Step 1,FT,32
65,Step 1,FT,33
66,Step 1,FT,33
67,Step 1,FT,34
68,Step 1,FT,34
69,Step 1,FT,35
70,Step 1,FT,35
71,Step 1,Cip,36
72,Step 1,Cip,36
73,Step 1,Cip,37
74,Step 1,Cip,37
75,Step 1,Cip,38
76,Step 1,Cip,38
77,Step 1,Cip,39
78,Step 1,Cip,39
79,Step 1,Cip,40
80,Step 1,Cip,40
81,Step 1,Gen,41
82,Step 1,Gen,41
83,Step 1,Gen,42
84,Step 1,Gen,42
85,Step 1,Gen,43
86,Step 1,Gen,43
87,Step 1,Gen,44
88,Step 1,Gen,44
89,Step 1,Gen,45
90,Step 1,Gen,45
91,Step 1,Ram,46
92,Step 1,Ram,46
93,Step 1,Ram,47
94,Step 1,Ram,47
95,Step 1,Ram,48
96,Step 1,Ram,48
97,Step 1,Ram,49
98,Step 1,Ram,49
99,Step 1,Ram,50
100,Step 1,Ram,50
101,Step 1,F1,51
102,Step 1,F1,51
103,Step 1,F1,52
104,Step 1,F1,52
105,Step 1,F1,53
106,Step 1,F1,53
107,Step 1,F1,54
108,Step 1,F1,54
109,Step 1,F1,55
110,Step 1,F1,55
111,Step 1,F2,56
112,Step 1,F2,56
113,Step 1,F2,57
114,Step 1,F2,57
115,Step 1,F2,58
116,Step 1,F2,58
117,Step 1,F2,59
118,Step 1,F2,59
119,Step 1,F2,60
120,Step 1,F2,60
121,Step 1,F3,61
122,Step 1,F3,61
123,Step 1,F3,62
124,Step 1,F3,62
125,Step 1,F3,63
126,Step 1,F3,63
127,Step 1,F3,64
128,Step 1,F3,64
